,best_arm,algorithm,function,euclidean_distance,true_reward_difference,cumulative_regret,timetocomple
27,"[9.375, 9.0, 9.0, 9.0, 9.25, 9.0, 9.25, 9.5, 8.25, 8.0]",mLGHOO,Paviani,1.8903399165229535,4.952314143861223,133372.31957055326,23.38819757400779
28,"[8.0, 9.25, 8.5, 9.5, 9.0, 8.0, 8.0, 8.5, 9.3125, 9.5]",mLGHOO,Paviani,2.66520003939667,8.856314759405052,136762.74490586453,20.171039210050367
29,"[9.0, 9.375, 9.0, 8.75, 8.0, 8.0, 6.0, 8.0, 9.0, 8.0]",mLGHOO,Paviani,4.38877944307982,15.517670584634594,140228.93692049343,21.3168381699943
30,"[9.0, 9.0, 9.5, 9.5, 9.0, 9.0, 8.0, 9.1875, 6.0, 8.0]",mLGHOO,Paviani,3.9298271272410967,12.061342091655838,127317.31412988935,19.552929000055883
31,"[9.0, 9.3125, 9.0, 8.0, 8.0, 9.25, 9.5, 9.5, 9.0, 9.0]",mLGHOO,Paviani,2.0492172286021817,5.563091768088739,119339.2275139068,21.516159038001206
32,"[8.0, 9.5, 8.0, 8.0, 6.0, 9.5, 9.0, 8.5, 9.375, 9.0]",mLGHOO,Paviani,4.209558765476498,14.355148623027297,133525.47726475785,20.930331415031105
33,"[8.5, 8.0, 9.0, 9.0, 9.5, 9.0625, 8.0, 9.25, 6.0, 8.0]",mLGHOO,Paviani,4.217942774623669,14.287610127224227,137589.8777988191,21.582382416003384
34,"[8.0, 9.0, 6.0, 8.9375, 8.0, 8.0, 6.0, 9.0, 8.625, 6.0]",mLGHOO,Paviani,6.3330613647745455,24.80492392582594,152155.98637413591,21.644297120976262
35,"[9.0, 8.0, 8.0, 9.0, 9.0, 9.0, 9.0, 6.0, 8.0, 9.375]",mLGHOO,Paviani,4.16189680314157,13.685234190292384,125107.84757291024,21.45022235898068
36,"[8.0, 9.0, 9.5, 6.0, 9.0, 8.8125, 9.0, 8.0, 9.25, 8.0]",mLGHOO,Paviani,4.170946085722041,13.881937970588062,141882.03856971735,21.881768747989554
37,"[6.0, 6.0, 6.0, 4.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0]",mLGHOO,Paviani,11.388415605342127,50.8755871982549,117538.38223797074,19.956510667980183
38,"[8.0, 9.375, 9.0, 9.25, 8.0, 8.0, 6.0, 9.25, 9.1875, 9.5]",mLGHOO,Paviani,4.1107075120957,13.185974487619859,144698.01106262,22.603466950007714
39,"[9.0, 9.0, 9.25, 9.125, 8.5, 9.5, 9.5, 9.0, 8.0, 8.0]",mLGHOO,Paviani,2.2022454449947237,6.448798019565331,123861.9962780099,21.866670024988707
40,"[6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 4.0]",mLGHOO,Paviani,11.388415605342127,50.8755871982549,139709.50709978613,20.314743078954052
41,"[9.0, 6.0, 8.0, 9.0, 8.0, 8.0, 8.0, 9.375, 9.0, 9.0]",mLGHOO,Paviani,4.361580562135706,15.2230582343023,127296.34889666534,20.60491702798754
42,"[8.5, 9.0, 8.0, 9.5, 9.0, 9.0, 9.5, 8.0, 8.875, 8.5]",mLGHOO,Paviani,2.395701358683926,7.715450236745731,143180.9115288097,19.861870808992535
43,"[8.0, 8.0, 8.875, 9.0, 9.5, 8.0, 9.25, 8.5, 8.0, 8.0]",mLGHOO,Paviani,3.19880993496019,11.826157036609757,132886.3862472896,23.687072221015114
44,"[8.0, 8.0, 6.0, 8.0, 9.0, 9.0, 9.0, 9.0, 9.375, 9.5]",mLGHOO,Paviani,4.149745172899176,13.676111880102326,133763.2140043832,19.202349992003292
45,"[6.0, 6.0, 6.0, 6.0, 4.0, 6.0, 6.0, 6.0, 6.0, 6.0]",mLGHOO,Paviani,11.388415605342127,50.8755871982549,132083.24519031425,20.43512722401647
